word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
'hood,hʊd,,"n. 罩；风帽；（布质）面罩；学位连领帽（表示学位种类）\nv. 覆盖；用头巾包；使(马,鹰等)戴头罩；给…加罩\n[网络] 胡德；兜帽；引擎盖",,,,,0,0,,,
's Gravenhage,",skrɑ:vən'hɑ:ɡə",,[荷兰语]海牙(= Hague),,,,,0,0,,,
'tween,twi:n,,prep. [诗歌用语] = between [亦作 tweeny],,,,,0,0,,,
'tween decks,,,[网络] 甲板间；二层舱；双层甲板,,,,,0,0,,,
-ability,ə'biliti,,"suf. [用于构成名词, 意义相当于-able]表示“能力”, “可能性”, “倾向性”, “适宜性”",,,,,0,0,,,
-able,əbl,,"suf. [附在动词或名词后构成形容词] 表示：“能…的,会…的”：durable; “可以…的”：drinkable; “具有…特性的”：fashionable; “有助于…的”,“倾向于…的”：peaceable; “易于…的”：breakable",,,,,0,0,,,
-ably,əbli,,suf. [构成与-able结尾的形容词相应的副词],,,,,0,0,,,
-acy,əsi,,"suf. [用于构成抽象名词]表示性质, 状态, 位置, 地位, 职位",,,,,0,0,,,
-ad,'æd,," [医]〔状语性后缀〕意为向…方, 向…侧",,,,,0,0,,,
-ade,eid,,"suf. 用以构成名词表示：“行动”,“…的动作”：blockade; “行动者”：renegade; “行动者的集体”：cavalcade; “行动的产物”：arcade; “参与”,“参加”：brigade",,,,,0,0,,,
-adelphous,ə'delfəs,, 表示“[植物学]有雄蕊束的”：monadelphous,,,,,0,0,,,
-aemia,'i:miə,, [用以构成名词]表示血液,,,,,0,0,,,
-age,idʒ,,comb. 表示数量;表示动作;表示身份;表示地方,,,,,0,0,,,
-agogue,ə'ɡɒɡ,," [医]〔后缀〕意为催, 利",,,,,0,0,,,
-aholic,,, 嗜好…的；对…成瘾的,,,,,0,0,,,
-al,,," [医]〔后缀〕用于化合物名之后, 示有醛基-CHO存在, 如chloral（氯醛, 三氯乙醛）",,,,,0,0,,,
-algia,'ælɡə,, [医]〔后缀〕意为痛,,,,,0,0,,,
-alia,,, （与某活动或兴趣范围）有关的物品,,,,,0,0,,,
-ally,,, 以-al结尾的形容词加ly构成副词),,,,,0,0,,,
